Løpende nr,Lagring boksnr-plassnr,Lagring plassnr,PrøveID-(eksternt)-eller-PJS-nummer-(VI-internt),Andre nummer,Bakterie art/stamme,Art (vert),Prosjekt,Prioritert? (Ja/Nei),BESTILLER (epost for svar),"Skal DNA ekstraheres 
(Ja/Nei)",DNA ekstraksjon startdato,"Nanodrop, ng/µL",A260/A280,A260/A230 (2.0-2.2),"Qubit,  ng/µL","DNA ekstraksjon/måling,
link","Library Prep, startdato link (LPååååmmddINITIALER)","MS/NS run # 
link",Dato sekvensert 1.gang,Kommentarer,Faktura,Dato sekvensert 2.gang,Kommentarer 2,DNA ekstrakt kastet (dato) eller sendt,Unnamed: 25,Qubit (gammel)
889,Nov-68,,2020-01-3415,,Providencia alcalifaciens,,SEQ-TECH-Providencia-utbrudd,,camilla.sekse@vetinst.no  karin.lagesen@vetinst.no,nei,9/21/2020,29.3,1.8,1.6,28,,,#28,9/24/2020,,SEQ-TECH,,,15.03.2022 WHS,,
890,Nov-69,,2020-01-3429,,Providencia alcalifaciens,,SEQ-TECH-Providencia-utbrudd,,camilla.sekse@vetinst.no  karin.lagesen@vetinst.no,nei,9/21/2020,25.2,1.9,1.6,22.4,,,#28,9/24/2020,,SEQ-TECH,,,15.03.2022 WHS,,
891,Nov-70,,2020-01-3508 ,,Providencia alcalifaciens,,SEQ-TECH-Providencia-utbrudd,,camilla.sekse@vetinst.no  karin.lagesen@vetinst.no,nei,9/21/2020,18.5,1.8,1.2,17.3,,,#28,9/24/2020,,SEQ-TECH,,,15.03.2022 WHS,,
892,Nov-71,,2020-01-3561,,Providencia alcalifaciens,,SEQ-TECH-Providencia-utbrudd,,camilla.sekse@vetinst.no  karin.lagesen@vetinst.no,nei,9/21/2020,19,1.8,1.6,17.4,,,#28,9/24/2020,,SEQ-TECH,,,15.03.2022 WHS,,
893,Nov-72,,2020-01-3626,,Providencia alcalifaciens,,SEQ-TECH-Providencia-utbrudd,,camilla.sekse@vetinst.no  karin.lagesen@vetinst.no,nei,9/21/2020,19.1,1.9,1.5,17.3,,,#28,9/24/2020,,SEQ-TECH,,,15.03.2022 WHS,,
894,Nov-73,,2020-04-24735,,Providencia alcalifaciens,,SEQ-TECH-Providencia-utbrudd,,camilla.sekse@vetinst.no  karin.lagesen@vetinst.no,nei,9/21/2020,24.1,1.8,1.7,23.1,,,#28,9/24/2020,,SEQ-TECH,,,15.03.2022 WHS,,
895,Nov-74,,2020-22-469,,STEC,,Discover,,camilla.sekse@vetinst.no,nei,9/21/2020,18.3,1.9,1.4,20.9,,LP20201007RFF,#29,10/9/2020,,Okt-20/CAB,,,15.03.2022 WHS,,
896,Nov-75,,VIB-3049,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,33.4,1.8,2.1,17.6,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
897,Nov-76,,VIB-3053,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,37.8,1.8,2,21.5,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
898,Nov-77,,VIB -3054,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,23.7,1.7,2.1,15,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
899,Nov-78,,VIB -3063,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,15.9,1.9,1.9,10,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
900,Nov-79,,VIB-3085,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,18.6,1.9,1.9,13.1,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
901,Nov-80,,VIB-3089,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,32.6,1.8,2,19,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
902,12-A1,,VIB-3125,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,28.2,1.7,1.8,19,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
903,12-A2,,VIB-3126,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,26,1.8,1.5,14.8,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
904,12-A3,,VIB-3127,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,24.5,1.8,1.9,14.7,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
905,12-A4,,VIB-3174,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,15.6,1.9,2,10.4,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
906,12-A5,,VIB-3175,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,25.8,1.7,1.7,16.6,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
907,12-A6,,VIB-3176,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,28,1.8,1.9,15,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
908,12-A7,,VIB-3177,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,32.8,1.8,1.8,21.1,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
909,12-A8,,VIB-3178,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,30.6,1.8,1.6,16.8,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
910,12-A9,,VIB-3179,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,12.7,1.8,2,7.9,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
911,12-B1,,VIB-3192,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,19.8,1.7,1.8,12.3,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
912,12-B2,,VIB-3193,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,22.9,1.8,1.9,11.8,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,11/20/CAB,,,15.03.2022 WHS,,
913,12-B3,,VIB-3231,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,18.2,2.0,1.7,12.2,DNAmål20200928CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
914,12-B4,,VIB-3276,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,35.8,1.8,1.8,24.2,DNAmål20200928CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
915,12-B5,,VIB-3277,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,17.6,1.8,1.9,11.4,DNAmål20200928CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
916,12-B6,,VIB-3278,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt  DNA 24.sept 2020, Bjørn Spilsberg svar",nei,,23.3,1.8,1.9,16.2,DNAmål20200928CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
917,12-B7,,2019-01-2588-1,5,E.faecalis,,SEQ-TECH GP test,,jannice,Ja,9/22/2020,64.1,1.8,2.2,49.2,DNAe20200922CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
918,12-B8,,2019-01-2588-3,6,E.faecium,,SEQ-TECH GP test,,jannice,ja,9/22/2020,70.2,1.8,2.1,55.2,DNAe20200922CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
919,12-B9,,2019-01-2588-4,7,E.faecalis,,SEQ-TECH GP test,,jannice,ja,9/22/2020,60.5,1.8,2.2,47.6,DNAe20200922CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
920,12-C1,,2019-01-2588-6,8,E.faecium,,SEQ-TECH GP test,,jannice,ja,9/22/2020,48.3,1.8,2,39.9,DNAe20200922CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
921,12-C2,,2019-01-2588-1P1,5P,E.faecalis,,SEQ-TECH GP test,,jannice,Ja,9/22/2020,55.9,1.8,1.6,44.8,DNAe20200922CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
922,12-C3,,2019-01-2588-3P1,6P,E.faecium,,SEQ-TECH GP test,,jannice,ja,9/22/2020,82.3,1.8,2,73.2,DNAe20200922CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
923,12-C4,,2019-01-2588-4P1,7P,E.faecalis,,SEQ-TECH GP test,,jannice,ja,9/22/2020,70.8,1.8,1.6,53.6,DNAe20200922CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
924,12-C5,,2019-01-2588-6P1,8P,E.faecium,,SEQ-TECH GP test,,jannice,ja,9/22/2020,98.8,1.8,1.9,74,DNAe20200922CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
925,12-C6,,2020-01-3768-7,1,Salmonella,,Ringtest-DTU,,"2_ug_DNA_levert_23_9-20,_Jannice",nei,,425,1.9,0.5,23.7,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,SEQ-TECH,,,15.03.2022 WHS,,
926,12-C7,,2020-01-3768-8,2,Salmonella,,Ringtest-DTU,,"2_ug_DNA_levert_23_9-20,_Jannice",nei,,246.1,1.9,0.6,29.6,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,SEQ-TECH,,,15.03.2022 WHS,,
927,12-C8,,2020-01-3768-9,3,E.coli,,Ringtest-DTU,,"2_ug_DNA_levert_23_9-20,_Jannice",nei,,304.7,1.9,0.5,24.9,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,SEQ-TECH,,,15.03.2022 WHS,,
928,12-C9,,2020-01-3768-10,4,E.coli,,Ringtest-DTU,,"2_ug_DNA_levert_23_9-20,_Jannice",nei,,257,1.9,0.4,30,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,SEQ-TECH,,,15.03.2022 WHS,,
929,12-D1,,2020-01-3768-11,5,Campylobacter,,Ringtest-DTU,,"2_ug_DNA_levert_23_9-20,_Jannice",nei,,624.2,2.0,0.7,37,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,SEQ-TECH,,,15.03.2022 WHS,,
930,12-D2,,2020-01-3768-12,6,Campylobacter,,Ringtest-DTU,,"2_ug_DNA_levert_23_9-20,_Jannice",nei,,336.4,2.0,0.8,32.5,DNAmål20200928CAB,LP20201007RFF,#29,10/9/2020,,SEQ-TECH,,,15.03.2022 WHS,,
931,12-D3,,2019-04-23209,,Strep.suis,,SEQ-TECH-GP-test,,Jannice,ja,9/29/2020,38.4,1.8,1.5,28,DNAmål20200929CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
932,12-D4,,2019-01-2389,,Strep.equi.zooepidemicus,,SEQ-TECH-GP-test,,Jannice,ja,9/29/2020,28.9,1.8,1.7,21.8,DNAmål20200929CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
933,12-D5,,2019-01-2436,,Strep.equi.equi,,SEQ-TECH-GP-test,,Jannice,ja,9/29/2020,18.8,1.7,1.5,13.6,DNAmål20200929CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
934,12-D6,,2019-01-2510,,Strep.agalactiae,,SEQ-TECH-GP-test,,Jannice,ja,9/29/2020,56.1,1.8,2.2,48.8,DNAmål20200929CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
935,12-D7,,2019-04-23209-P1,,Strep.suis,,SEQ-TECH-GP-test,,Jannice,ja,9/29/2020,54.3,1.8,2,42.4,DNAmål20200929CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
936,12-D8,,2019-01-2389-P1,,Strep.equi.zooepidemicus,,SEQ-TECH-GP-test,,Jannice,ja,9/29/2020,36.9,1.8,1.9,28.4,DNAmål20200929CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
937,12-D9,,2019-01-2436-P1,,Strep.equi.equi,,SEQ-TECH-GP-test,,Jannice,ja,9/29/2020,31.3,1.8,1.7,23.4,DNAmål20200929CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
938,12-E1,,2019-01-2510-P1,,Strep.agalactiae,,SEQ-TECH-GP-test,,Jannice,ja,9/29/2020,91.2,1.8,2.2,92.8,DNAmål20200929CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
939,12-E2,,VIB-99,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,22.1,2.1,1.7,9,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
940,12-E3,,VIB-249,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,26.8,1.9,1.5,17,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
941,12-E4,,VIB-461,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,28.3,1.9,1.5,14.2,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
942,12-E5,,VIB-562,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,46.6,1.8,1.4,23.6,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
943,12-E6,,VIB-714,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,24.5,1.9,1.4,14.3,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
944,12-E7,,VIB-1038,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,28.4,1.9,1.8,16.9,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
945,12-E8,,VIB-1058,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,31.7,1.8,1.6,22.2,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
946,12-E9,,VIB-1184,,Tenacibaculum,,32069-FHF-prosjekt,,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,13,1.9,1.2,6.8,DNAmål20201006CAB,,,,"Lav DNA konsentrasjon, Bergen forsøker ny ekstraksjon",11/20/CAB,,,15.03.2022 WHS,,
947,12-F1,,VIB-1306,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,39.9,1.9,1.3,29,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
948,12-F2,,VIB-1785,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,20.2,1.9,1.6,14.8,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
949,12-F3,,VIB-2771,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,22.9,2.0,1.7,17.3,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
950,12-F4,,VIB-2925,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,23.4,1.9,1.6,17.2,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
951,12-F5,,VIB-3068,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,20.7,1.7,2.3,16.2,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
952,12-F6,,VIB-3688,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,25.4,2.0,1.7,16.1,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
953,12-F7,,VIB-3865,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,30.1,1.9,1.6,20.4,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
954,12-F8,,VIB-4078,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,18,1.9,2,12.6,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
955,12-F9,,VIB-4084,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,23.7,1.8,1.5,15.4,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
956,12-G1,,VIB-4330,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,33.5,1.9,2.1,22,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
957,12-G2,,VIB-4331,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,20.9,1.9,1.8,15.8,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
958,12-G3,,VIB-4332,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,22.4,1.9,1.8,16.1,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
959,12-G4,,VIB-4333,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,20.1,2.1,1.8,14.1,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
960,12-G5,,VIB-3194,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,22.1,1.9,2,14.6,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
961,12-G6,,VIB-3223,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,28.3,1.9,2,15.2,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
962,12-G7,,VIB-3225,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,27.1,1.8,1.7,12.2,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
963,12-G8,,VIB-3227,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,20.9,2.0,1.8,11.2,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
964,12-G9,,VIB-3228,,Tenacibaculum,,32069-FHF-prosjekt,Ja,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,25.8,1.9,1.7,17,DNAmål20201006CAB,LP20201020CAB_RFF,#31,10/21/2020,,11/20/CAB,,,15.03.2022 WHS,,
965,12-H1,,VIB-3231,,Tenacibaculum,,32069-FHF-prosjekt,,"Sendt_DNA_5_oktober_2020,Bjørn_Spilsberg_svar",nei,,9.8,1.8,0.7,1.6,DNAmål20201006CAB,,,,"Lav DNA konsentrasjon, Bergen forsøker ny ekstraksjon",11/20/CAB,,,15.03.2022 WHS,,
966,12-H2,,2019-01-2588-17,,S.aureus,,SEQ-TECH-GP-test,Nei,Jannice,ja,,83.3,1.8,2.3,55.2,DNAmål20201006CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
967,12-H3,,2019-01-2588-18,,S.aureus,,SEQ-TECH-GP-test,Nei,Jannice,ja,,79.9,1.8,2.1,70,DNAmål20201006CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
968,12-H4,,2019-01-2588-19,,S.aureus,,SEQ-TECH-GP-test,Nei,Jannice,ja,,91.8,1.8,2.2,76.8,DNAmål20201006CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
969,12-H5,,2019-01-2588-21,,S.aureus,,SEQ-TECH-GP-test,Nei,Jannice,ja,,107.3,1.8,2.3,86,DNAmål20201006CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
970,12-H6,,2019-01-2588-17P1,,S.aureus,,SEQ-TECH-GP-test,Nei,Jannice,ja,,88.6,1.8,2.3,76.4,DNAmål20201006CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
971,12-H7,,2019-01-2588-18P1,,S.aureus,,SEQ-TECH-GP-test,Nei,Jannice,ja,,66.2,1.8,2.3,62,DNAmål20201006CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
972,12-H8,,2019-01-2588-19P1,,S.aureus,,SEQ-TECH-GP-test,Nei,Jannice,ja,,68.5,1.8,2.2,55.2,DNAmål20201006CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
973,12-H9,,2019-01-2588-21P1,,S.aureus,,SEQ-TECH-GP-test,Nei,Jannice,ja,,89.1,1.8,2.3,52,DNAmål20201006CAB,LP20201013RFF,#30,10/14/2020,,SEQ-TECH,,,15.03.2022 WHS,,
974,12-I1,,2016-01-4162,,E.coli.ESBL.AmpC,,12010-AMR-SKJELL,Ja,jannice.schau-slettemeas@vetinst.no,nei,10/6/2020,26.6,1.9,1.7,27.6,,LP20201007RFF; LP20201013RFF,"#29, #30",10/9/2020,,Nov-20/CAB,,,15.03.2022 WHS,,
975,12-I2,,2016-01-4169,,E.coli.ESBL.AmpC,,12010-AMR-SKJELL,Ja,jannice.schau-slettemeas@vetinst.no,nei,10/6/2020,19.7,2.0,2.2,24.7,,LP20201007RFF,#29,10/9/2020,,Nov-20/CAB,,,15.03.2022 WHS,,
976,12-I3,,2016-01-4214,,E.coli.ESBL.AmpC,,12010-AMR-SKJELL,Ja,jannice.schau-slettemeas@vetinst.no,nei,10/6/2020,31,1.9,2,32.3,,LP20201007RFF,#29,10/9/2020,,Nov-20/CAB,,,15.03.2022 WHS,,
977,12-I4,,2016-01-4218,,E.coli.ESBL.AmpC,,12010-AMR-SKJELL,Ja,jannice.schau-slettemeas@vetinst.no,nei,10/6/2020,24.5,2.0,1.5,24.3,,LP20201007RFF,#29,10/9/2020,,Nov-20/CAB,,,15.03.2022 WHS,,
978,12-I5,,2016-01-4220,,QREC,,12010-AMR-SKJELL,Ja,jannice.schau-slettemeas@vetinst.no,nei,10/6/2020,10.2,2.1,1.4,12.1,,LP20201007RFF,#29,10/9/2020,,Nov-20/CAB,,,15.03.2022 WHS,,
979,12-I6,,2016-01-4220,,E.coli.ESBL.AmpC,,12010-AMR-SKJELL,Ja,jannice.schau-slettemeas@vetinst.no,nei,10/6/2020,26.8,1.9,1.9,31.2,,LP20201007RFF,#29,10/9/2020,,Nov-20/CAB,,,15.03.2022 WHS,,
980,12-I7,,2016-01-4221,,QREC,,12010-AMR-SKJELL,Ja,jannice.schau-slettemeas@vetinst.no,nei,10/6/2020,24.8,1.9,1.9,27.8,,LP20201007RFF,#29,10/9/2020,,Nov-20/CAB,,,15.03.2022 WHS,,
981,12-I8,,2016-01-4221,,E.coli.ESBL.AmpC,,12010-AMR-SKJELL,Ja,jannice.schau-slettemeas@vetinst.no,nei,10/6/2020,32.8,1.9,2,35.4,,LP20201007RFF,#29,10/9/2020,,Nov-20/CAB,,,15.03.2022 WHS,,
982,12-I9,,2016-01-4248,,E.coli.ESBL.AmpC,,12010-AMR-SKJELL,Ja,jannice.schau-slettemeas@vetinst.no,nei,10/6/2020,17.6,2.0,1.8,20.4,,LP20201007RFF,#29,10/9/2020,,Nov-20/CAB,,,15.03.2022 WHS,,
983,13-A1,,2016-01-4313,,QREC,,12010-AMR-SKJELL,Ja,jannice.schau-slettemeas@vetinst.no,nei,10/6/2020,32.2,1.9,2.1,35.1,,LP20201007RFF,#29,10/9/2020,,Nov-20/CAB,,,15.03.2022 WHS,,
